"quantity","pack","as_found","fixed","se_fixed","dev_vs_pack","flag"
"N_pairs",4182,4639,4182,NA,0,"ok"
"mean_theta_D",0.2138,0.043822,0.24726509666428,0.0241446226512173,0.0334650966642802,"ok"
"SD_theta_D",0.595,0.676722,1.56139374983352,NA,0.966393749833521,"ok"
"SD_theta_true",0.425,0.538717,1.50539207610826,NA,1.08039207610826,"ok"
"TW_mean",0.1412,NA,0.304331650871669,NA,0.163131650871669,"ok"
"Q1_mean",0.5615,0.135265,0.855441640476092,0.0759689155890652,0.293941640476092,"RECONCILE-FAIL"
"Q5_mean",0.0968,0.030665,-0.0582935792746363,0.0276919629430518,-0.155093579274636,"RECONCILE-FAIL"
"Q1_Q5_spread",0.4647,0.1046,0.913735219750728,0.0808586479445326,0.449035219750728,"RECONCILE-FAIL"
"Q1_Q5_from_theta_B",NA,-0.090898,0.682710639776861,NA,NA,""
"Q1_Q5_from_b_hat",NA,-0.195498,-0.231024579973867,NA,NA,""
"mean_theta_B_uncorrected",NA,-0.110148,0.0758107555171095,0.0244309155819876,NA,""
"holdout_corrected_placebo",NA,NA,0.0169898549631917,NA,NA,""
