"item","value"
"n_canonical","4182"
"n_all_pairs","46803"
"n_switchers","10340"
"world_trade_2015_T","19.1344937732201"
"canon_trade_2015_T","4.22215780566543"
"share_world_pct","22.0656885711532"
"canon_pre_trade_T","13.390126563866"
"top10_share_pct","34.3435491805784"
"top1_pair","KOR_USA"
"top2_pair","USA_KOR"
"top3_pair","AUS_JPN"
"top4_pair","AUS_CHN"
"top5_pair","CHN_HKG"
"top6_pair","CHN_AUS"
"top7_pair","JPN_AUS"
"top8_pair","JPN_THA"
"top9_pair","IDN_JPN"
"top10_pair","JPN_SGP"
"top1_trade_B","843.465909084167"
"top2_trade_B","671.668333085852"
"top3_trade_B","662.363865579195"
"top4_trade_B","500.658094764222"
"top5_trade_B","409.582328248"
"top6_trade_B","367.71924496849"
"top7_trade_B","335.540464307658"
"top8_trade_B","289.229407600595"
"top9_trade_B","281.048948259956"
"top10_trade_B","237.368105904879"
