"seed","size_decile","b_hat","n_placebo","se_bhat"
999,1,-0.151261570223382,29,0.0983296509735073
999,2,-0.18862599915866,96,0.0818348219328188
999,3,-0.307170468473189,159,0.0790484687016973
999,4,-0.316315032147073,284,0.0530961494059303
999,5,-0.29067674666117,461,0.0437020392437667
999,6,-0.212359859969619,628,0.0312136462428004
999,7,-0.170345431582929,794,0.0299763697121533
999,8,-0.136619294025229,1004,0.0246642322540438
999,9,-0.109485239614478,1349,0.0178360473822768
999,10,-0.0602807776300374,1535,0.0127495888625635
