"pair","adoption_year","pre_trade_B","pct_of_canon"
"KOR_USA",2012,843.465909084167,6.29916308155224
"USA_KOR",2012,671.668333085852,5.01614626181642
"AUS_JPN",2015,662.363865579195,4.9466587370923
"AUS_CHN",2015,500.658094764222,3.73900942889722
"CHN_HKG",2003,409.582328248,3.05883836343474
"CHN_AUS",2015,367.71924496849,2.74619693260257
"JPN_AUS",2015,335.540464307658,2.50587970701586
"JPN_THA",2007,289.229407600595,2.16001996860206
"IDN_JPN",2008,281.048948259956,2.0989267496424
"JPN_SGP",2002,237.368105904879,1.77270994992258
