"seed","size_decile","b_hat","n_placebo","se_bhat"
12345,1,-0.190992513385841,29,0.170540682230644
12345,2,-0.252761133204589,96,0.0750494641856806
12345,3,-0.370952037358532,159,0.0787765307262734
12345,4,-0.300084252012362,284,0.0479372867823157
12345,5,-0.325081968340761,461,0.0442498645786152
12345,6,-0.287605705255687,628,0.038530598228638
12345,7,-0.153653916332721,794,0.0288821908476859
12345,8,-0.110366018085735,1004,0.0209044463609381
12345,9,-0.105002379896544,1349,0.0174411341480788
12345,10,-0.0484065908654675,1535,0.0126304030446879
