"adoption_year","n_pairs","mean_theta_D","sd_theta_D","se_mean"
1992,123,0.1969,0.1299,0.0117
1993,81,0.1908,0.0965,0.0107
1994,59,0.2847,0.1675,0.0218
1995,97,0.2755,0.3371,0.0342
1996,18,0.2323,0.2811,0.0662
1997,173,0.2773,0.2012,0.0153
1998,139,0.2416,0.1128,0.0096
1999,110,0.2456,0.3172,0.0302
2000,110,0.2113,0.142,0.0135
2001,68,0.286,0.1887,0.0229
2002,123,0.313,0.2847,0.0257
2003,72,0.1813,0.1083,0.0128
2004,488,0.3802,0.4516,0.0204
2005,53,0.3409,0.4489,0.0617
2006,98,0.2896,0.3948,0.0399
2007,126,0.2954,0.5601,0.0499
2008,766,0.1811,0.7801,0.0282
2009,157,0.2239,0.7262,0.058
2010,118,0.2108,0.4897,0.0451
2011,98,0.0193,0.6531,0.066
2012,275,0.2061,0.7157,0.0432
2013,533,0.0385,0.8238,0.0357
2014,279,0.1876,0.608,0.0364
2015,18,0.2489,0.4051,0.0955
