"pair","theta_A","n_post_cells"
"ABW_CZE",1.84747008946171,12
"AFG_BGD",-5.1278647284468,5
"AFG_IND",1.43001046168429,15
"AFG_LKA",-2.65739748966352,6
"AIA_CZE",-1.27505548103385,13
"AIA_SVK",2.35292455156551,9
"ALB_AUT",0.427052602367895,12
"ALB_BEL",-0.968299601130473,12
"ALB_BGR",2.2816627865812,15
"ALB_CHE",0.857847559280582,8
"ALB_CYP",1.23884047615669,12
"ALB_CZE",0.37970150837203,12
"ALB_DEU",-0.145155443298673,12
"ALB_DNK",-1.65515783796425,12
"ALB_ESP",2.01275339131349,12
"ALB_EST",2.44765774227094,12
"ALB_FIN",-0.0128605603322876,12
"ALB_FRA",0.156800031377374,12
"ALB_GBR",-0.101988759446074,12
"ALB_GRC",-0.180754496117949,12
"ALB_HRV",-0.818283298270354,15
"ALB_HUN",0.0704802053375921,12
"ALB_IRL",0.60980175958224,12
"ALB_ISL",0.386125279847504,8
"ALB_ITA",0.131821053429204,12
"ALB_LTU",1.23970907756407,12
"ALB_LUX",2.34766847967424,12
"ALB_LVA",2.59641465247762,11
"ALB_MDA",-2.18236484346924,14
"ALB_MKD",0.10050132975865,16
"ALB_MLT",1.4493252220093,11
"ALB_NLD",-0.537316067108202,12
"ALB_NOR",2.14081067978079,8
"ALB_POL",1.01347657659555,12
"ALB_PRT",-2.23806864326446,12
"ALB_ROU",-1.27095394414431,14
"ALB_SVK",0.798791677062013,12
"ALB_SVN",-0.697409145122065,12
"ALB_SWE",0.0957075768508865,12
"ALB_TUR",0.732305834297454,10
"AND_BGR",-1.10337556061168,11
"AND_CYP",-3.99506010323137,11
"AND_CZE",0.951897218413711,14
"AND_EST",-4.59905347566492,13
"AND_GRC",-2.4886734928133,24
"AND_HRV",-0.292215328528602,5
"AND_HUN",-4.62873397167641,11
"AND_LTU",-5.76812594954331,10
"AND_LVA",-3.59161021434253,12
"AND_POL",1.47684601472973,14
"AND_ROU",-1.95038303726077,11
"AND_SVK",0.973569168388633,14
"AND_SVN",-0.837836275333332,14
"ANT_CZE",0.266800610186566,5
"ANT_EST",1.68405123355284,3
"ANT_FIN",1.09271895453171,12
"ANT_HUN",-1.61155869208682,4
"ANT_POL",-0.364938045045314,5
"ANT_SVK",2.15390548115364,5
"ANT_SVN",-2.20411821118447,5
"ARE_CHE",1.08115895434792,4
"ARE_DZA",0.807279711043699,9
"ARE_EGY",2.26364942115888,20
"ARE_ISL",0.191619208461932,4
"ARE_JOR",2.28353864372365,20
"ARE_LBN",6.59611834353387,20
"ARE_LBY",4.02235823765643,14
"ARE_MAR",-0.190130385587609,20
"ARE_NOR",-0.0514129415741826,4
"ARE_SDN",1.43582115345217,20
"ARE_SGP",0.0117248738415608,5
"ARE_SYR",4.0482185509002,18
"ARE_TUN",2.18944708304101,20
"ARE_YEM",3.17276178967744,18
"ARG_CMR",3.57687871073867,25
"ARG_IRN",-1.24610764015917,26
"ARG_ISR",-0.019364432711292,9
"ARG_MAR",1.03317271035966,21
"ARG_PAN",0.268089559426129,6
"ARG_PHL",3.51709425586184,26
"ARM_BLR",-0.240825704248208,6
"ARM_KAZ",-0.875070908204791,17
"ARM_TJK",-0.0527391154476737,3
"ATF_CZE",7.17391709314818,13
"ATF_SVN",-3.16025122305,9
"ATG_AUT",-2.9261911967096,10
"ATG_BEL",-2.37884028091487,10
"ATG_CZE",-1.83746120041739,10
"ATG_DEU",-4.82736566291286,10
"ATG_DNK",-1.48652108516209,10
"ATG_ESP",-4.64991668457745,10
"ATG_EST",-4.74486766893931,7
"ATG_FIN",-1.84463232168987,10
"ATG_FRA",-2.41318562182498,10
"ATG_GBR",-1.83507582288197,10
"ATG_GRC",-4.91425250683036,8
"ATG_HUN",-5.49123112766755,3
"ATG_IRL",-3.00315377533234,10
"ATG_ITA",-3.47431479813265,10
"ATG_LTU",-9.13370564391498,3
"ATG_LUX",-2.32523325537403,9
"ATG_MLT",-1.67855162290484,10
"ATG_NLD",-1.87844042912248,10
"ATG_POL",0.361103177887494,10
"ATG_PRT",-3.57391547624334,10
"ATG_ROU",-3.44737843622769,10
"ATG_SVK",-4.22620342848585,9
"ATG_SVN",-6.10203200894986,9
"ATG_SWE",-2.94736795809018,10
"AUS_BRN",-0.069976068395226,8
"AUS_CHL",0.986388438302558,9
"AUS_CHN",0.373114135937775,3
"AUS_IDN",0.0582230889043007,6
"AUS_JPN",0.327974709571868,3
"AUS_KHM",-0.527936579652727,7
"AUS_KOR",0.0368440312312073,4
"AUS_LAO",-0.456911199385991,7
"AUS_MMR",0.771431905167269,8
"AUS_MYS",0.180102745691742,8
"AUS_PHL",-0.196631395291788,8
"AUS_SGP",0.108210986820213,15
"AUS_THA",0.208448800737982,13
"AUS_USA",-0.046860967022761,13
"AUS_VNM",0.0174889002720973,8
"AUT_ALB",0.0617215861075678,12
"AUT_ATG",-1.37100813275203,10
"AUT_BGR",2.75514724506648,25
"AUT_BHS",1.0165506376705,10
"AUT_BIH",-0.806130240851606,10
"AUT_BLZ",0.497384584778919,10
"AUT_BRB",-0.718956925832708,10
"AUT_CHL",1.07747323081385,15
"AUT_CMR",-0.527251265701193,4
"AUT_COL",-0.27900606865812,5
"AUT_CRI",-0.0310554164048316,5
"AUT_CYP",-0.123592300354717,23
"AUT_DMA",-2.13427591744335,10
"AUT_DOM",0.431810463674736,10
"AUT_DZA",-0.501162164757241,23
"AUT_EGY",3.76874623328966,23
"AUT_FJI",0.305683848095924,9
"AUT_GEO",-0.122423190048432,4
"AUT_GRD",-0.648629165807847,10
"AUT_GTM",-0.319485648417787,5
"AUT_GUY",0.42482595385993,10
"AUT_HND",0.173828698819751,5
"AUT_HRV",0.145804957335594,16
"AUT_HUN",2.0826671981203,25
"AUT_ISR",2.75846795603869,25
"AUT_JAM",-0.184983030137851,10
"AUT_JOR",-0.316988164734758,16
"AUT_KNA",-1.23749265751572,10
"AUT_KOR",0.103170780161852,7
"AUT_LBN",4.92682142485364,23
"AUT_LCA",-1.26385303823954,10
"AUT_MAR",0.693387719393745,23
"AUT_MDA",0.111061040433807,4
"AUT_MDG",-0.563517896917402,6
"AUT_MEX",-0.648336341695118,18
"AUT_MKD",-0.26857946576531,17
"AUT_MLT",5.25461882269696,23
"AUT_MUS",0.105698332375779,6
"AUT_NIC",0.0206609327108605,5
"AUT_PAN",0.906674186950898,5
"AUT_PER",0.107436625776159,5
"AUT_PNG",-0.334490389019098,9
"AUT_POL",1.27548954460776,25
"AUT_ROU",1.48664331620325,25
"AUT_SLV",-0.0775138532404576,5
"AUT_SRB",0.307011172445446,8
"AUT_SUR",0.0427172062653495,10
"AUT_SYC",0.259665869891436,6
"AUT_SYR",6.65011156632108,23
"AUT_TTO",-0.735287555282647,10
"AUT_TUN",-0.390421857735908,23
"AUT_TUR",-0.219926861096106,26
"AUT_UKR",-0.34874563332304,4
"AUT_VCT",0.0318304056318289,10
"AUT_VGB",1.30584577797848,11
"AUT_ZAF",2.58375067508316,18
"AUT_ZWE",-0.706205091838517,6
"BDI_EGY",1.99034511418088,10
"BEL_ALB",-0.305792676777833,12
"BEL_ATG",0.431871784298554,10
"BEL_BHS",-0.0990157698091239,10
"BEL_BIH",-0.433391657157322,10
"BEL_BLZ",-0.518477563883801,10
"BEL_BRB",-0.356939390635009,10
"BEL_CHL",0.925892071612607,15
"BEL_CMR",-0.369648484236834,4
"BEL_COL",-0.0888997055340432,5
"BEL_CRI",-0.132288504691163,5
"BEL_DMA",-0.887173239436005,10
"BEL_DOM",-0.245760376233023,10
"BEL_FJI",-0.537160459242575,9
"BEL_GEO",0.134566284497079,4
"BEL_GRD",-0.489421183409899,10
"BEL_GTM",0.806368049297027,5
"BEL_GUY",-0.252260654545084,10
"BEL_HND",-0.653254302848203,5
"BEL_JAM",0.344144068295381,10
"BEL_KNA",-0.313015675897819,10
"BEL_KOR",-0.0440064708927383,7
"BEL_LCA",-1.71578473088604,10
"BEL_MDA",-0.0723356992302604,4
"BEL_MDG",-0.506354661374497,6
"BEL_MUS",0.084226282581648,6
"BEL_NIC",-0.875329566255935,5
"BEL_PAN",0.847773994450636,5
"BEL_PER",0.124732322515031,5
"BEL_PNG",-0.801263993523021,9
"BEL_SLV",-0.731149860014699,5
"BEL_SRB",0.486940333377315,8
"BEL_SUR",-0.0177885910759345,10
"BEL_SYC",0.032322568768345,6
"BEL_TTO",-0.147169710905421,10
"BEL_UKR",-0.00419162492839376,4
"BEL_VCT",-1.22168787288984,10
"BEL_VGB",1.30292207494181,11
"BEL_ZWE",-0.14949707717097,6
"BEN_COL",1.22705006879638,21
"BEN_MAR",-2.16216859507148,21
"BGD_AFG",-2.21183176750892,6
"BGD_BTN",0.971297309454425,17
"BGD_CHN",-0.777394984204413,16
"BGD_COL",2.32060114236186,21
"BGD_MAR",-1.16153377769962,21
"BGD_MDV",-0.178022481305223,22
"BGD_MMR",-1.15121552208687,20
"BGD_NPL",-1.52530403413213,23
"BGD_VEN",0.3285468812656,13
"BGR_ABW",1.05045407808358,9
"BGR_ALB",-0.951708914621424,15
"BGR_AND",1.59835455873338,11
"BGR_ATG",-3.11331575671541,10
"BGR_AUT",0.700804931148947,25
"BGR_BHS",-1.63591570461125,10
"BGR_BLZ",-0.329782140562557,10
"BGR_BMU",-0.470892931663422,11
"BGR_BRB",-0.675674164823879,10
"BGR_CHE",0.270455496091607,25
"BGR_CHL",1.15089856335843,11
"BGR_CMR",-0.329281312477373,4
"BGR_COL",-0.737248611938137,5
"BGR_CRI",0.754576182966898,5
"BGR_CYM",-2.76134917152182,10
"BGR_CYP",0.954842169056891,14
"BGR_DEU",0.759561691266653,24
"BGR_DMA",-0.948167780165319,8
"BGR_DNK",0.848754231589121,24
"BGR_DOM",-0.492660025022127,10
"BGR_DZA",0.343928410808908,11
"BGR_EGY",0.388453828388338,11
"BGR_ESP",1.06334841164286,24
"BGR_EST",0.110878226328256,16
"BGR_FJI",-0.474185693520479,9
"BGR_FRA",1.89324225181283,24
"BGR_FRO",-1.18454409223894,9
"BGR_GBR",3.98427213290369,24
"BGR_GEO",-0.628009744167898,4
"BGR_GRC",1.03987792146154,24
"BGR_GRD",-2.64337405738259,9
"BGR_GRL",-1.42911931280427,11
"BGR_GTM",0.945985816953379,5
"BGR_GUY",1.5693393518632,10
"BGR_HND",-1.3711165452624,5
"BGR_HRV",1.48166747600577,15
"BGR_HUN",0.937299735392463,19
"BGR_IRL",1.16812820214747,24
"BGR_ISL",1.34487686584851,25
"BGR_ISR",-0.0361493778511732,16
"BGR_ITA",1.96233426762015,24
"BGR_JAM",-0.227298953315985,10
"BGR_JOR",-0.710693377647365,11
"BGR_KNA",-0.952397054533653,10
"BGR_KOR",0.681503751249116,7
"BGR_LBN",-0.195514390320323,11
"BGR_LCA",-3.2684161095473,8
"BGR_LTU",0.0195811753986006,16
"BGR_LVA",-0.0870161055519754,15
"BGR_MAR",0.169919252023319,11
"BGR_MDG",-1.26398267659018,6
"BGR_MEX",-0.769612770433214,11
"BGR_MKD",-0.71524783467732,18
"BGR_MLT",0.368023968078127,14
"BGR_MUS",1.10215962333264,6
"BGR_NCL",-0.472379633136103,11
"BGR_NIC",-0.406585280765045,5
"BGR_NLD",1.05124892746293,24
"BGR_NOR",3.4655114779248,25
"BGR_PAN",-0.660514893760761,5
"BGR_PER",-0.638955608640972,5
"BGR_PNG",-2.26524865139273,6
"BGR_POL",1.22769814650474,19
"BGR_PRT",1.13361026987068,24
"BGR_PYF",0.692659820903197,11
"BGR_ROU",1.32696087391878,19
"BGR_SLV",-0.497904858822315,5
"BGR_SMR",-0.317568280584271,11
"BGR_SUR",0.0682588968249247,10
"BGR_SVN",1.67808377686085,21
"BGR_SWE",3.01747339418946,25
"BGR_SYC",-0.104943541864752,6
"BGR_SYR",0.19124447688157,11
"BGR_TTO",-1.96812371491489,10
"BGR_TUN",0.410565638218702,11
"BGR_TUR",0.56077512752567,19
"BGR_UKR",-0.120299559983557,4
"BGR_VCT",-3.31587090984186,10
"BGR_VGB",-0.782440397985561,11
"BGR_ZAF",0.842181018253287,11
"BGR_ZWE",-0.288016309345275,6
"BHR_CHE",-1.02675357128849,4
"BHR_DZA",0.580242037957607,9
"BHR_EGY",2.40973257400543,20
"BHR_ISL",-4.84621951596492,3
"BHR_JOR",-0.838207505973878,20
"BHR_MAR",2.50635027928378,20
"BHR_NOR",0.458854399422335,4
"BHR_SGP",-0.308416918527487,5
"BHR_TUN",-0.695502487533233,20
"BHR_USA",0.883184923322719,12
"BHS_AUT",0.159912678578099,10
"BHS_BEL",-3.34923652654666,10
"BHS_BGR",-2.66191483617741,8
"BHS_CYP",-1.79918910257443,6
"BHS_CZE",-1.54794732210883,10
"BHS_DEU",-1.998051303731,10
"BHS_DNK",-4.78806308023385,10
"BHS_ESP",-4.56829787459646,10
"BHS_EST",-1.05376735609702,10
"BHS_FIN",-2.01957384233757,10
"BHS_FRA",-0.90685263111719,10
"BHS_GBR",-2.53076675388538,10
"BHS_GRC",-2.50622975889932,10
"BHS_HRV",-6.22263244925604,3
"BHS_HTI",-1.14683555550768,15
"BHS_HUN",-0.0860547606631609,10
"BHS_IRL",1.20184390729904,10
"BHS_ITA",-1.65376861490047,10
"BHS_LVA",-6.45362127980319,3
"BHS_MLT",-1.50839791557117,7
"BHS_NLD",-0.748814209718676,10
"BHS_POL",0.410656915664681,10
"BHS_PRT",-3.77189041213906,10
"BHS_ROU",-5.72164292326245,4
"BHS_SVK",-3.35887906728043,10
"BHS_SVN",0.104998883759767,10
"BHS_SWE",-3.4467512625073,10
"BIH_ALB",2.75636762714143,14
"BIH_AUT",1.10212728762415,10
"BIH_BEL",0.440491616651496,10
"BIH_CHE",-0.568925259169544,3
"BIH_CYP",1.29764723797403,10
"BIH_CZE",0.646090252063946,10
"BIH_DEU",0.382203827955197,10
"BIH_DNK",0.885295707288519,10
"BIH_ESP",0.171810059115586,10
"BIH_EST",1.83954576918571,10
"BIH_FIN",-0.29235020030455,10
"BIH_FRA",-0.199563156637179,10
"BIH_GBR",0.158355528448377,10
"BIH_GRC",-0.7546742650747,10
"BIH_HRV",-0.0733223064688467,17
"BIH_HUN",0.299193907816408,10
"BIH_IRL",0.0699488387267352,10
"BIH_ISL",-0.621605590610046,3
"BIH_ITA",0.122792325881453,10
"BIH_LTU",-2.36314110636649,10
"BIH_LUX",-1.27086177472495,10
"BIH_LVA",0.760635210593205,10
"BIH_MDA",2.26299780629009,14
"BIH_MKD",-0.030416586567391,16
"BIH_MLT",0.356299131116459,10
"BIH_NLD",0.665877003553861,10
"BIH_NOR",0.4743941337228,3
"BIH_POL",-0.00305528669541273,10
"BIH_PRT",-0.883841483985748,10
"BIH_SVK",1.05156633674581,10
"BIH_SWE",0.362938653217852,10
"BIH_TUR",0.330583374867839,15
"BLR_ARM",0.400796090550444,6
"BLR_MDA",-0.447946885749473,6
"BLR_UKR",-0.159130567596693,14
"BLZ_AUT",0.0820839626672908,10
"BLZ_BEL",-0.00746696581497412,10
"BLZ_BGR",1.14835731551962,10
"BLZ_CYP",3.36253445619049,5
"BLZ_CZE",0.681534401490475,10
"BLZ_DEU",-0.0145687940049964,10
"BLZ_DNK",-0.79821954954411,10
"BLZ_ESP",0.360125896531242,10
"BLZ_EST",-1.47797272874209,9
"BLZ_FIN",-3.52275815276087,10
"BLZ_FRA",0.166551391609128,10
"BLZ_GBR",0.472377161578149,10
"BLZ_GRC",-0.984812235203355,8
"BLZ_HUN",-0.284257175071755,10
"BLZ_IRL",1.36219642940125,10
"BLZ_ITA",-0.607460619511099,10
"BLZ_LTU",-3.08477445201887,8
"BLZ_LVA",-4.2788456042051,5
"BLZ_MLT",-4.80928295839755,3
"BLZ_NLD",1.00642801471188,10
"BLZ_POL",-0.965801416832972,10
"BLZ_PRT",0.0058226374763918,10
"BLZ_ROU",0.0533282545868219,6
"BLZ_SVK",-2.30137995517932,10
"BLZ_SVN",-0.782847988580301,9
"BLZ_SWE",-2.31482962194644,10
"BMU_BGR",-2.97151453924957,4
"BMU_CZE",-3.00224991186275,13
"BMU_EST",-7.11860928298908,7
"BMU_HRV",-5.08521958461794,3
"BMU_HUN",-2.87216319007349,11
"BMU_MLT",-3.59326147276655,8
"BMU_POL",-6.63532387344257,14
"BMU_SVK",-7.50376390740188,10
"BMU_SVN",-4.62516699551529,11
"BOL_PAN",-1.51523366779864,6
"BRA_CMR",-1.00520224271711,26
"BRA_MAR",-0.100510909074621,21
"BRA_MMR",2.42596020846696,21
"BRA_PAN",0.434978229436306,6
"BRB_AUT",-0.179783291689486,10
"BRB_BEL",-1.11608218565066,10
"BRB_BGR",-1.03129275034048,9
"BRB_CYP",2.54804752887181,7
"BRB_CZE",-2.01471329645512,10
"BRB_DEU",-0.833026910101429,10
"BRB_DNK",-1.23189516663636,10
"BRB_ESP",-1.91418354500724,10
"BRB_EST",1.93253396883706,10
"BRB_FIN",0.591362524742925,10
"BRB_FRA",0.557913948691315,10
"BRB_GBR",-1.47374457622988,10
"BRB_GRC",-1.654776614715,10
"BRB_HTI",0.339622195923449,16
"BRB_HUN",-2.07324241713435,9
"BRB_IRL",-3.30604000123967,10
"BRB_ITA",-0.259790847332246,10
"BRB_LTU",-6.2751767464122,7
"BRB_LUX",0.674122677896779,10
"BRB_LVA",-4.57152129356493,5
"BRB_MLT",-6.4973217712952,6
"BRB_NLD",0.217659298409024,10
"BRB_POL",-0.234701662191774,10
"BRB_PRT",-2.36817236985218,10
"BRB_ROU",-1.69261028593494,9
"BRB_SVK",0.654080640015243,10
"BRB_SVN",-5.99448043274006,10
"BRB_SWE",-0.287900314678472,10
"BRN_AUS",0.659507782766187,8
"BRN_CHL",-0.23722349711607,10
"BRN_CHN",-0.0627298748790872,13
"BRN_IDN",5.89459417956894,24
"BRN_IND",1.55426238490676,8
"BRN_JPN",1.34188393627357,10
"BRN_KOR",0.449573768726089,8
"BRN_MYS",3.09644050571921,26
"BRN_NZL",1.04996275200035,12
"BRN_SGP",-0.0885996216598462,26
"BRN_THA",-0.705801814810205,26
"BTN_IND",2.23183344058431,23
"BTN_PAK",-0.600964247249054,23
"BWA_CHE",-1.30958478659155,10
"BWA_ISL",-8.27385583646152,5
"BWA_LSO",-3.67357303102306,18
"BWA_MWI",0.221976493996625,18
"BWA_NAM",-2.36686989016667,18
"BWA_NOR",-1.74817148406711,10
"BWA_ZAF",-4.7962154647249,18
"BWA_ZMB",0.982319286313106,18
"BWA_ZWE",0.636333033028389,18
"CAF_CMR",0.348535416666454,18
"CAF_COG",-1.39172469768053,19
"CAF_GAB",-1.36232619020455,10
"CAF_TCD",-1.76167528983731,17
"CAN_CHE",0.113134146730606,9
"CAN_CHL",0.818357944728178,21
"CAN_COL",-0.494663729104599,7
"CAN_CRI",0.0975131789769623,16
"CAN_HND",-0.285974891591591,4
"CAN_ISL",0.0802929859494298,9
"CAN_ISR",-0.181213527599128,21
"CAN_JOR",-0.358337092938092,6
"CAN_KOR",0.00964790419138299,3
"CAN_MEX",0.377367032214667,24
"CAN_NOR",-0.0394210528060236,9
"CAN_PAN",0.728558402575517,5
"CAN_PER",0.177736775266089,9
"CHE_ALB",-0.647673958329493,8
"CHE_ARE",-0.0765180134272621,4
"CHE_BGR",-0.737911909499502,25
"CHE_BHR",-0.155337058649624,4
"CHE_BIH",-0.775472424402476,3
"CHE_BWA",-2.37888470282565,10
"CHE_CAN",0.290674868948434,9
"CHE_CHL",0.420438880172796,14
"CHE_CHN",0.81888802587967,4
"CHE_COL",-0.994332786416262,7
"CHE_CRI",-0.0713300704367417,4
"CHE_CYP",-0.372036365715263,14
"CHE_EGY",-0.543789509911104,11
"CHE_FRO",-2.71631303834099,23
"CHE_HKG",0.425134522315632,6
"CHE_HRV",-0.217309165560366,16
"CHE_HUN",-1.44608229094554,25
"CHE_ISR",-0.842844532312811,25
"CHE_JOR",-0.475859151921067,16
"CHE_JPN",-0.176496323411722,9
"CHE_KOR",-0.84389420873361,12
"CHE_KWT",-0.02773362625153,4
"CHE_LBN",-0.972945596230616,11
"CHE_LSO",0.261023372361117,10
"CHE_MAR",-0.714921422912364,19
"CHE_MEX",-1.63963716433141,17
"CHE_MKD",-0.345499126937835,16
"CHE_MLT",-0.387861433285564,14
"CHE_MNE",-1.59209304628219,6
"CHE_NAM",-0.364991479166766,10
"CHE_OMN",-0.359512134583562,4
"CHE_PAN",-0.0852890650679654,4
"CHE_PER",-0.631074765210155,7
"CHE_POL",-0.505400162971623,25
"CHE_QAT",-0.0382579998547004,4
"CHE_ROU",1.08998539744194,25
"CHE_SAU",-0.765695032257208,4
"CHE_SGP",0.0296403048454054,15
"CHE_SRB",-0.249707099507437,8
"CHE_SWZ",-0.345569572542327,10
"CHE_TUN",-0.863845054468144,13
"CHE_TUR",0.193266416355687,26
"CHE_UKR",0.425244542041666,6
"CHE_ZAF",-0.206897294076818,10
"CHL_AUS",1.01992554973401,9
"CHL_AUT",0.107330566014293,15
"CHL_BEL",0.746481585604906,15
"CHL_BGR",-0.484385470131968,11
"CHL_BRN",-0.00552730145051667,12
"CHL_CAN",0.676496188928937,21
"CHL_CHE",0.391290598278127,14
"CHL_CHN",0.753572409751679,12
"CHL_CMR",2.45203655677187,26
"CHL_CRI",0.765652412953655,16
"CHL_CYP",-0.0503105537421238,14
"CHL_CZE",0.165846646928604,14
"CHL_DEU",0.00665121945272542,15
"CHL_DNK",0.523319058560641,15
"CHL_ESP",0.353731998598734,15
"CHL_EST",-0.581435282146933,14
"CHL_FIN",0.0644011149949641,15
"CHL_FRA",-0.206871256439268,15
"CHL_GBR",-0.884390044058861,15
"CHL_GRC",-0.00427181877972433,15
"CHL_GTM",-0.377804868198915,8
"CHL_HKG",0.695475566999726,4
"CHL_HND",-0.283309935185306,10
"CHL_HRV",-0.305941454913143,5
"CHL_HUN",-0.0936376254333045,14
"CHL_IRL",0.0202655001900028,15
"CHL_ISL",-1.010341251535,14
"CHL_ITA",-0.0146843259018062,15
"CHL_JPN",0.362606535737241,11
"CHL_LTU",1.0824077622734,14
"CHL_LUX",0.924113453102083,15
"CHL_LVA",-0.844213437356327,14
"CHL_MAR",-0.395680790518013,21
"CHL_MLT",-0.239062515899161,14
"CHL_NLD",-0.0364650545455205,15
"CHL_NOR",-0.265139608260154,14
"CHL_NZL",0.16702063460464,12
"CHL_PAN",0.814539322526599,10
"CHL_POL",0.349841594158202,14
"CHL_PRT",-0.585988103797508,15
"CHL_SLV",0.660305651599718,16
"CHL_SVK",-0.580197101308767,14
"CHL_SVN",0.136183720218228,14
"CHL_SWE",-0.200488472579987,15
"CHL_USA",0.27870150800229,14
"CHN_AUS",0.14813909868618,3
"CHN_BGD",-0.0503881063366008,16
