"pair","theta_A","n_post_cells"
"ABW_BHS",-0.676648549631237,4
"ABW_BRA",-3.92464332736645,9
"ABW_BRB",-1.1930983720666,13
"ABW_CAN",0.205485758480841,5
"ABW_CHE",-0.50095307887599,11
"ABW_COL",0.272149664796839,7
"ABW_CRI",-6.29993773742649,8
"ABW_DMA",-1.29673291647285,4
"ABW_DOM",0.846723857949847,5
"ABW_ECU",-1.17898003250491,13
"ABW_GRD",-1.34679677058102,17
"ABW_GTM",-2.09131956870018,14
"ABW_GUY",-0.298983512842311,15
"ABW_HKG",1.05051201483405,10
"ABW_JAM",-0.635153222331708,6
"ABW_KNA",0.537390737820454,5
"ABW_KOR",-1.77586737783981,8
"ABW_LBN",-2.71942686446652,13
"ABW_LKA",-0.943426002349744,7
"ABW_MEX",-0.725633649757336,20
"ABW_PAN",-0.404290277066636,4
"ABW_PER",-3.64615599910539,12
"ABW_PHL",-1.96255018438302,12
"ABW_RUS",-1.31045738704596,6
"ABW_SAU",0.939023963465381,7
"ABW_SDN",2.22202281582828,6
"ABW_SLV",-0.1211059777201,8
"ABW_SUR",-0.0914608422009901,13
"ABW_THA",2.08195542080851,4
"ABW_TTO",-0.830514680842385,6
"ABW_USA",-1.09428331821726,23
"ABW_VEN",1.16389806999174,9
"ABW_YEM",-0.144818730746982,8
"ABW_ZAF",-3.95063584412633,11
"AFG_ARE",-0.101775390951766,6
"AFG_ARM",-0.304440711927191,4
"AFG_AUS",-0.581140528313936,24
"AFG_AUT",-0.101034143716514,9
"AFG_BEL",-1.84018938140089,7
"AFG_BEN",-1.35904222869939,5
"AFG_BGR",-3.39690447014878,11
"AFG_BHR",-0.215572156051741,13
"AFG_BIH",-0.892265233182847,9
"AFG_BOL",-1.11111577389432,4
"AFG_BRA",-1.12294143360426,13
"AFG_BRB",0.41758970145409,7
"AFG_CAN",0.3824681300541,13
"AFG_CHE",-1.0036296008066,9
"AFG_CHL",-0.658742195257207,9
"AFG_CHN",-0.42212373416527,15
"AFG_CIV",-1.72635980546614,7
"AFG_COL",-0.792341482510834,15
"AFG_CRI",-2.89690929715173,11
"AFG_CYP",-2.18461377366667,21
"AFG_CZE",0.0846169205720158,20
"AFG_DNK",-1.36789077827064,12
"AFG_DOM",-1.54349519509491,5
"AFG_DZA",-3.14275443042894,11
"AFG_ECU",-2.40227703612085,16
"AFG_EGY",-1.0246824076382,13
"AFG_ESP",-0.150833440954811,15
"AFG_ETH",-1.85555995209265,13
"AFG_FIN",-1.48895781018569,25
"AFG_FRA",-0.135514827777908,26
"AFG_FRO",-0.156674750366985,6
"AFG_GBR",-0.559013920640191,13
"AFG_GRC",-1.01977847928234,19
"AFG_GTM",-1.56717367404872,11
"AFG_HRV",-1.16141417087942,21
"AFG_HUN",-2.79064685603523,16
"AFG_IDN",-2.32227669549593,10
"AFG_IRL",-0.409078626995118,21
"AFG_ISL",-0.317965452870893,13
"AFG_ISR",-1.87525164074326,10
"AFG_ITA",0.356346329991089,9
"AFG_JOR",-1.50104562663549,11
"AFG_JPN",-0.163283338435229,15
"AFG_KEN",-0.821181658418489,11
"AFG_KNA",-0.984881828632108,6
"AFG_KWT",0.11128806381085,19
"AFG_LBN",-1.17602150857243,10
"AFG_LUX",-0.315883102167506,6
"AFG_MEX",-0.887161016499225,19
"AFG_MKD",-2.77473158460535,14
