"pair","theta_A","n_post_cells","qualifies"
"ABW_CZE",1.84747008946171,12,TRUE
"AFG_BGD",-5.1278647284468,5,TRUE
"AFG_IND",1.43001046168429,15,TRUE
"AFG_LKA",-2.65739748966352,6,TRUE
"AIA_CZE",-1.27505548103385,13,TRUE
"AIA_SVK",2.35292455156551,9,TRUE
"ALB_AUT",0.427052602367895,12,TRUE
"ALB_BEL",-0.968299601130473,12,TRUE
"ALB_BGR",2.2816627865812,15,TRUE
"ALB_CHE",0.857847559280582,8,TRUE
"ALB_CYP",1.23884047615669,12,TRUE
"ALB_CZE",0.37970150837203,12,TRUE
"ALB_DEU",-0.145155443298673,12,TRUE
"ALB_DNK",-1.65515783796425,12,TRUE
"ALB_ESP",2.01275339131349,12,TRUE
"ALB_EST",2.44765774227094,12,TRUE
"ALB_FIN",-0.0128605603322876,12,TRUE
"ALB_FRA",0.156800031377374,12,TRUE
"ALB_GBR",-0.101988759446074,12,TRUE
"ALB_GRC",-0.180754496117949,12,TRUE
"ALB_HRV",-0.818283298270354,15,TRUE
"ALB_HUN",0.0704802053375921,12,TRUE
"ALB_IRL",0.60980175958224,12,TRUE
"ALB_ISL",0.386125279847504,8,TRUE
"ALB_ITA",0.131821053429204,12,TRUE
"ALB_LTU",1.23970907756407,12,TRUE
"ALB_LUX",2.34766847967424,12,TRUE
"ALB_LVA",2.59641465247762,11,TRUE
"ALB_MDA",-2.18236484346924,14,TRUE
"ALB_MKD",0.10050132975865,16,TRUE
"ALB_MLT",1.4493252220093,11,TRUE
"ALB_NLD",-0.537316067108202,12,TRUE
"ALB_NOR",2.14081067978079,8,TRUE
"ALB_POL",1.01347657659555,12,TRUE
"ALB_PRT",-2.23806864326446,12,TRUE
"ALB_ROU",-1.27095394414431,14,TRUE
"ALB_SVK",0.798791677062013,12,TRUE
"ALB_SVN",-0.697409145122065,12,TRUE
"ALB_SWE",0.0957075768508865,12,TRUE
"ALB_TUR",0.732305834297454,10,TRUE
"AND_BGR",-1.10337556061168,11,TRUE
"AND_CYP",-3.99506010323137,11,TRUE
"AND_CZE",0.951897218413711,14,TRUE
"AND_EST",-4.59905347566492,13,TRUE
"AND_GRC",-2.4886734928133,24,TRUE
"AND_HRV",-0.292215328528602,5,TRUE
"AND_HUN",-4.62873397167641,11,TRUE
"AND_LTU",-5.76812594954331,10,TRUE
"AND_LVA",-3.59161021434253,12,TRUE
"AND_POL",1.47684601472973,14,TRUE
"AND_ROU",-1.95038303726077,11,TRUE
"AND_SVK",0.973569168388633,14,TRUE
"AND_SVN",-0.837836275333332,14,TRUE
"ANT_CZE",0.266800610186566,5,TRUE
"ANT_EST",1.68405123355284,3,FALSE
"ANT_FIN",1.09271895453171,12,TRUE
"ANT_HUN",-1.61155869208682,4,TRUE
"ANT_POL",-0.364938045045314,5,TRUE
"ANT_SVK",2.15390548115364,5,TRUE
"ANT_SVN",-2.20411821118447,5,TRUE
"ARE_CHE",1.08115895434792,4,TRUE
"ARE_DZA",0.807279711043699,9,TRUE
"ARE_EGY",2.26364942115888,20,TRUE
"ARE_ISL",0.191619208461932,4,TRUE
"ARE_JOR",2.28353864372365,20,TRUE
"ARE_LBN",6.59611834353387,20,TRUE
"ARE_LBY",4.02235823765643,14,TRUE
"ARE_MAR",-0.190130385587609,20,TRUE
"ARE_NOR",-0.0514129415741826,4,TRUE
"ARE_SDN",1.43582115345217,20,TRUE
"ARE_SGP",0.0117248738415608,5,TRUE
"ARE_SYR",4.0482185509002,18,TRUE
"ARE_TUN",2.18944708304101,20,TRUE
"ARE_YEM",3.17276178967744,18,TRUE
"ARG_CMR",3.57687871073867,25,TRUE
"ARG_IRN",-1.24610764015917,26,TRUE
"ARG_ISR",-0.019364432711292,9,TRUE
"ARG_MAR",1.03317271035966,21,TRUE
"ARG_PAN",0.268089559426129,6,TRUE
"ARG_PHL",3.51709425586184,26,TRUE
"ARM_BLR",-0.240825704248208,6,TRUE
