"ID","quantity","size_decile","n","mean_theta_B","sd_theta_B","definition"
"PLACEBO_B_UNCORR_OVERALL","Mean theta_B (uncorrected placebo)",NA,17200,-0.207204589838223,0.824354559230742,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE1","Mean theta_B decile 1",1,37,-0.206313532701071,0.648468011161521,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE2","Mean theta_B decile 2",2,196,-0.217226011506356,0.878820314278162,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE3","Mean theta_B decile 3",3,600,-0.3438857866444,1.02378917847381,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE4","Mean theta_B decile 4",4,1328,-0.315895359837835,0.914040613983127,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE5","Mean theta_B decile 5",5,2030,-0.364658995926384,0.995298377695679,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE6","Mean theta_B decile 6",6,2472,-0.292903435761818,0.943698148774983,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE7","Mean theta_B decile 7",7,2715,-0.214985302858877,0.865076674492374,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE8","Mean theta_B decile 8",8,2777,-0.152744642956499,0.812697377648045,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE9","Mean theta_B decile 9",9,2638,-0.105559687095768,0.604222669574871,"B (uncorrected)"
"PLACEBO_B_UNCORR_DECILE10","Mean theta_B decile 10",10,2407,-0.0570129024331124,0.483453696239541,"B (uncorrected)"
