kappa_u,w_over_Esigma2,delta,mc_se_mc,sd_single_dataset,z,z_deff10,z_deff50,reps,n_pairs,G3_violation,G4_pass
0,0.1,-0.00246906333453663,0.00168050116714783,0.0336100233429566,0.073462113053071,0.023230759897649,0.0103891116600239,400,4182,FALSE,TRUE
0,0.25,0.0013736357665665,0.00172648975712048,0.0345297951424096,0.0397811733577126,0.012579911580438,0.00562590748895924,400,4182,TRUE,TRUE
0,0.5,-1.14525769555507e-05,0.00163564392435998,0.0327128784871997,0.000350093831089552,0.000110709390101725,4.9510744403e-05,400,4182,TRUE,TRUE
0,1,-0.0008328915726474,0.00176664148517055,0.035332829703411,0.0235727389976635,0.00745435459212912,0.00333368871927769,400,4182,FALSE,TRUE
0.75,0.1,0.108719157392457,0.00183549446581912,0.0367098893163825,2.96157682349477,0.936532822780995,0.418830210979614,400,4182,FALSE,TRUE
0.75,0.25,0.144581742616092,0.00174736776623335,0.0349473553246671,4.13712972764039,1.30827529149357,0.585078497012594,400,4182,FALSE,TRUE
0.75,0.5,0.169188610856997,0.0016476068172282,0.032952136344564,5.13437456946269,1.62363179999485,0.726110215043766,400,4182,FALSE,TRUE
0.75,1,0.196884587557786,0.00187876006063098,0.0375752012126195,5.23974805733476,1.65695382266204,0.74101227661009,400,4182,FALSE,TRUE
1,0.1,0.130704191089924,0.00179690764231055,0.0359381528462111,3.63692011799387,1.1500951240949,0.514338175613449,400,4182,FALSE,TRUE
1,0.25,0.179619978877019,0.00186114361701957,0.0372228723403914,4.82552709082876,1.52596565178651,0.682432585744882,400,4182,FALSE,TRUE
1,0.5,0.212372594740995,0.00182289101781059,0.0364578203562117,5.82515884564697,1.84207696845216,0.823801864249155,400,4182,FALSE,TRUE
1,1,0.241856073809091,0.00179058585023076,0.0358117170046152,6.75354587935347,2.13565872612017,0.955095617669061,400,4182,FALSE,TRUE
1.5,0.1,0.169551095656548,0.00188047089745321,0.0376094179490642,4.50820844625081,1.42562068569613,0.637556952669283,400,4182,FALSE,TRUE
1.5,0.25,0.227988845869684,0.00199680267016174,0.0399360534032347,5.70884768125879,1.80529614877487,0.807352981635838,400,4182,FALSE,TRUE
1.5,0.5,0.275621117179162,0.00175984935699171,0.0351969871398342,7.83081563442195,2.47632133416298,1.10744456746428,400,4182,FALSE,TRUE
1.5,1,0.314708251555678,0.00178901976613259,0.0357803953226518,8.79554987354886,2.78139708740204,1.24387859197018,400,4182,FALSE,TRUE
3,0.1,0.24347485609226,0.00205971661608372,0.0411943323216743,5.91039694953754,1.86903162362499,0.835856352504456,400,4182,FALSE,TRUE
3,0.25,0.328466078618085,0.00197103379952956,0.0394206759905913,8.33232993509501,2.63491408109032,1.17836940003787,400,4182,FALSE,TRUE
3,0.5,0.389547140151879,0.00198292236887744,0.0396584473775487,9.82255145904699,3.10616350447986,1.38911854904919,400,4182,FALSE,TRUE
3,1,0.445644531031255,0.00194699130054246,0.0389398260108491,11.4444407354849,3.61904992709448,1.61848833018978,400,4182,FALSE,TRUE
