"year","u","mu_hat","sigma_hat","H_hat","E_S","empirical","omega","share_above_ES"
1988,83.3277000000006,1.19450126313311,3.05557217697083,89347.9096507775,1429.57418416385,1380.41239185055,1.05770119910188,0.159173754556501
1989,140.3720608,2.55454828439093,2.6467205704897,92881.3891571536,1682.88960692818,1736.51864654286,0.94815254894933,0.17037037037037
1990,150.0421176,2.24725826974417,2.79854973197018,89810.4999101874,1907.21970010254,1942.52326245325,0.969566896778339,0.163617886178862
1991,152.5611948,1.94722182124164,2.97854352086128,94587.9432384102,2207.56524904504,2151.53770487708,1.04385432329297,0.17097966728281
1992,147.7471912,2.46883345661374,2.81358780365411,98833.7561966138,2106.07275812552,2052.7577788342,1.04402039421876,0.175504107542942
1993,143.104042,3.34480874041417,2.51205484014862,108946.732853693,1923.77067829537,1907.94342984465,1.01412347393597,0.180228648285138
1994,145.5044148,2.48133561719933,2.74030793700185,123243.835950542,1987.57007611887,1938.45154425171,1.04286883334848,0.167237442922374
1995,152.5975812,3.01578132721527,2.64320008104268,138595.280795781,2188.27933327093,2152.68567744127,1.0276602666223,0.169312169312169
1996,155.747700000001,3.176470878108,2.60141249980083,148730.970017262,2234.98675770336,2183.74827129358,1.039499207521,0.169724770642202
1997,161.05395,3.46658085404252,2.52973641936266,160068.950971852,2313.83335317413,2266.43644035711,1.03532822853439,0.170416467209191
1998,146.0046234,3.1300500154995,2.6037913130078,165035.227374927,2170.70500578369,2141.97050827148,1.02224238143306,0.168647166361974
1999,145.0090081,3.12298976500903,2.6428255958333,185887.483043018,2327.71399163004,2260.17804165894,1.04926934212005,0.166593790992567
2000,146.3469529,3.4686139068912,2.62944634739737,221856.329495874,2704.94772002853,2662.71180888523,1.02535716511309,0.164346481051817
2001,148.6027556,2.76307622720578,2.79243068260666,207171.661777354,2605.1178349003,2527.25107300199,1.04961723325817,0.1580923770184
2002,150.755399163684,2.97764413717295,2.76000047679057,202924.396678848,2700.63048022546,2649.31548201166,1.03103706043681,0.164048227986847
2003,171.2659696,3.30610691955494,2.72125521091207,216845.505898746,3098.47856448358,3005.59873669449,1.05023822108505,0.166191155492154
2004,223.5803933,3.83284239250442,2.68730680529877,274290.541360983,4238.72819001509,4017.21719046129,1.09120725183323,0.169968717413973
2005,250.395716561761,4.44018313968056,2.51564231483477,314897.564955375,4554.37314579669,4385.56991841099,1.06384883559726,0.171730966200068
2006,287.435058221144,4.79900035169109,2.45220798411877,329102.43273322,5166.71286218696,4990.30807876391,1.0591208534002,0.176058686228743
2007,345.303153,4.78410314928334,2.4979171129365,347702.146344408,5961.56520896784,5698.96186828864,1.07810046943531,0.178524804177546
2008,414.2823679,5.4279430796235,2.31280048852328,365686.761001108,6571.1556650475,6367.63845118877,1.05522413158089,0.185963777490298
2009,335.181829539397,4.78755023536208,2.44212871591677,316455.304910094,5360.55525684715,5132.80534300524,1.07615481367985,0.177461139896373
2010,370.3014772,4.92797909562126,2.38082108830891,392143.182446295,5592.62819774552,5371.83077058593,1.07071018669443,0.17811296534018
2011,442.3763156,5.17767802734987,2.35892252894309,427547.038517092,6593.74096356695,6309.48899945292,1.07828865457188,0.184478371501272
2012,443.011530925439,5.13076847650329,2.37555752792986,455553.558514712,6681.64408682323,6369.61532074851,1.08491058246506,0.182164392256427
2013,443.916511,5.34833706470723,2.29508062745803,471535.229139348,6552.65981294677,6320.66498957261,1.06354611612035,0.18498743718593
2014,459.678311264526,5.31729621944377,2.30851721212999,499244.031406456,6736.48500020598,6524.80741825446,1.05592579555583,0.18109987357775
2015,388.547603752316,4.71094433076668,2.44849121350129,533027.719512783,5986.57285697111,5734.2282843764,1.07454297208164,0.170716510903427
2016,372.6653723,4.55224137367816,2.50484265252794,507331.328461077,5959.51011810949,5658.19468361817,1.08992291173843,0.173184357541899
2017,408.088515859009,4.96658207764094,2.42045932133979,538624.05958377,6565.63319008821,6241.71983641352,1.08837775298881,0.175487465181058
2018,444.439121478909,5.28792019847384,2.35302583777814,577768.880071573,7151.44595794993,6851.97173138487,1.07447209460664,0.17723476647077
2019,454.265533012903,5.18517089912964,2.37861979476422,486175.747602039,7011.25294251082,6780.107271965,1.05815938487995,0.17914691943128
