"min_pre","min_post","n_pairs","mean_theta_D","se_mean","sd_theta_D","gradient_q1_mean","gradient_q5_mean","gradient_spread"
2,2,4960,0.259739640342839,0.0237290481307489,1.67117201895835,1.0414964780106,-0.0879786670132799,1.12947514502388
2,3,4514,0.278062126324549,0.0243967060454647,1.63912460970233,1.05422417678466,-0.0599105430371252,1.11413471982178
2,4,4444,0.285322728737213,0.0243491196720811,1.62319347904397,1.08990361336793,-0.0504171695099611,1.14032078287789
2,5,4140,0.286304855380013,0.0254691444212093,1.63875687478358,1.09658544177183,-0.102831436456957,1.19941687822879
3,2,4616,0.199840669636529,0.02349693684325,1.59640893424222,0.799901964804639,-0.100581754956028,0.900483719760667
3,3,4182,0.24726509666428,0.0241446226512173,1.56139374983352,0.855441640476092,-0.0582935792746363,0.913735219750728
3,4,4120,0.236815404614333,0.0240484508245357,1.54360335147591,0.885509992348664,-0.0776592661037172,0.963169258452382
3,5,3823,0.24130317096228,0.0254832791164524,1.575641678186,0.900375905092625,-0.0953153412423976,0.995691246335022
4,2,4279,0.159708728759178,0.02329607168238,1.52389076511379,0.656070101562311,-0.0682222326852545,0.724292334247565
4,3,3858,0.186828189519896,0.023941860103869,1.48709598293782,0.680867191018341,-0.0397522655316973,0.720619456550039
4,4,3801,0.184806107149404,0.0238361377450876,1.46955153681428,0.709940378190152,-0.0589811404590076,0.76892151864916
4,5,3508,0.201072296487267,0.0254032010153185,1.50459022905274,0.705815545459876,-0.0925341633298107,0.798349708789687
5,2,3999,0.104137250115606,0.0234244374720032,1.48130630838063,0.57432256411186,-0.0792050837787075,0.653527647890567
5,3,3582,0.140505000636706,0.0240710846984143,1.44064989455301,0.577037422046126,-0.0447663304708638,0.62180375251699
5,4,3531,0.134166617545236,0.0239251390030639,1.42168482712293,0.602766469953915,-0.0672137796547219,0.669980249608637
5,5,3240,0.148307529526254,0.0255710442936758,1.45552935810721,0.621106225910856,-0.0902776694199474,0.711383895330803
