"panel","year","threshold_name","threshold_value","n_exceed","thin_flag","ln_mu","ln_sigma","ln_status","gpd_xi","gpd_sigma","gpd_status","vuong_stat","vuong_p","winner"
"real",1988,"p90",83.3277000000006,823,"",2.10150377631268,2.77601726219926,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1988,"p95",270.01463065,412,"",4.9930825898837,1.99651245095272,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1988,"p97.5",846.014048074999,206,"",2.66341863676518,2.54956691664186,"converged",0.379553173469668,3638.23817557279,"converged",4.62471664796988,3.75110832573338e-06,"LN"
"real",1988,"p99",2475.8064544,83,"",4.38528214165607,2.19622678082028,"converged",0.248332593834797,7178.75025078143,"converged",1.93526379813518,0.0529579323820075,"neither"
"real",1989,"p90",140.3720608,945,"",3.1144086731304,2.46382234607467,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1989,"p95",438.3931269,473,"",4.23009086230108,2.17357173236589,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1989,"p97.5",1162.4325308,237,"",-1.2568674324177,3.16285028640494,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1989,"p99",2976.86651453996,95,"",5.40136680414629,1.99306299381505,"converged",0.272004864044193,8638.20242425731,"converged",2.29276849736785,0.021861336601581,"LN"
"real",1990,"p90",150.0421176,984,"",3.08974136567797,2.52869012680496,"converged",1.09484131590346,311.099556818784,"converged",3.04963965138838,0.002291160856345,"LN"
"real",1990,"p95",480.191250199999,492,"",4.42367261805533,2.17930764731599,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1990,"p97.5",1315.068753,246,"",0.199671479571614,2.97082728029017,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1990,"p99",3440.93287628,99,"",6.70601292566884,1.69210430238199,"converged",0.244277208055648,9564.08942364249,"converged",2.08171184658489,0.0373687978969751,"LN"
"real",1991,"p90",152.5611948,1082,"",3.09714899964301,2.61057766262483,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1991,"p95",521.747259599997,541,"",4.69052335056695,2.17190180273392,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1991,"p97.5",1430.5028147,271,"",4.98752573347527,2.09673509678031,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1991,"p99",3942.54569576,109,"",8.27286061506273,1.21647321433948,"converged",0.181631336099865,10402.5870052477,"converged",1.54848076066129,0.121506590327117,"neither"
"real",1992,"p90",147.7471912,1339,"",3.284346205534,2.53979964668461,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1992,"p95",504.9593482,670,"",4.78631086583689,2.12112566545805,"converged",0.0966556824590968,8299.04052677902,"converged",15.8466615302777,1.48250148467153e-56,"LN"
"real",1992,"p97.5",1359.5939832,335,"",5.5304044908857,1.94022664471443,"converged",0.303105095540456,5469.08630562624,"converged",5.09851142470377,3.42334874841507e-07,"LN"
"real",1992,"p99",3942.21187484,134,"",7.59166151004604,1.41176938321291,"converged",0.209010933907246,9720.63588020989,"converged",2.02287239216141,0.0430863055848373,"LN"
"real",1993,"p90",143.104042,1487,"",3.72236227634558,2.37185656157765,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1993,"p95",484.5825075,744,"",4.67901663172635,2.10743233629676,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1993,"p97.5",1324.33520525,372,"",3.72202380939995,2.31063643162267,"converged",0.313454926669579,4979.71678480269,"converged",5.62725551918146,1.83099402320901e-08,"LN"
"real",1993,"p99",3376.55324289997,149,"",8.01918632443874,1.26232062352582,"converged",0.201418478580608,9235.12032119539,"converged",2.04254888891355,0.0410971151080076,"LN"
"real",1994,"p90",145.5044148,1752,"",3.04986679640877,2.55570648575702,"converged",1.12107895293067,302.880050944547,"converged",4.92637571295211,8.37688535172535e-07,"LN"
"real",1994,"p95",456.308836549997,876,"",5.2888874991656,1.95095959816659,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",1994,"p97.5",1260.070701075,438,"",4.72392552594956,2.12075714304862,"converged",0.319806090831311,5188.8199248726,"converged",6.38219255171715,1.74570264014255e-10,"LN"
"real",1994,"p99",3425.23069831996,176,"",7.12741716911644,1.57183220010627,"converged",0.226038071894241,9538.16696624898,"converged",2.50606343364814,0.0122083715353882,"LN"
