"year","k","source","hill_alpha"
1988,50,"real",1.0123818131271
1988,50,"control_lognormal",1.07361562031014
1988,100,"real",0.947259944197539
1988,100,"control_lognormal",0.886607922369481
1988,200,"real",0.945638548959583
1988,200,"control_lognormal",0.806545532553192
1988,500,"real",0.696624138762095
1988,500,"control_lognormal",0.721420925441848
1989,50,"real",1.11373307969066
1989,50,"control_lognormal",1.22750670307708
1989,100,"real",1.03124083206615
1989,100,"control_lognormal",1.14285363840128
1989,200,"real",1.0276808441661
1989,200,"control_lognormal",1.09381612477158
1989,500,"real",0.812284862661345
1989,500,"control_lognormal",0.889673907573707
1990,50,"real",1.22627061742599
1990,50,"control_lognormal",1.09080380813373
1990,100,"real",1.05625132012046
1990,100,"control_lognormal",1.04540450921823
1990,200,"real",0.997542625748524
1990,200,"control_lognormal",0.953199247112194
1990,500,"real",0.809298714788665
1990,500,"control_lognormal",0.760766453055967
1991,50,"real",1.40441443550226
1991,50,"control_lognormal",1.01523660484582
1991,100,"real",1.07067947841764
1991,100,"control_lognormal",0.963088066989904
1991,200,"real",0.950824333781167
1991,200,"control_lognormal",0.874513424552474
1991,500,"real",0.80497613113769
1991,500,"control_lognormal",0.760340125437162
1991,1000,"real",0.658908931836756
1991,1000,"control_lognormal",0.665494964405634
1992,50,"real",1.42896852018462
1992,50,"control_lognormal",1.33289472065809
1992,100,"real",1.08581765063247
1992,100,"control_lognormal",1.18562027882834
1992,200,"real",1.00976200592966
1992,200,"control_lognormal",1.01315301310776
1992,500,"real",0.855857962398112
1992,500,"control_lognormal",0.886869052741528
1992,1000,"real",0.691883137186706
1992,1000,"control_lognormal",0.744551180270411
1993,50,"real",1.73408043900509
1993,50,"control_lognormal",1.19040645988397
1993,100,"real",1.22792578849894
1993,100,"control_lognormal",1.06520954691591
1993,200,"real",1.03073999916084
1993,200,"control_lognormal",0.940749563759156
1993,500,"real",0.871653790159165
1993,500,"control_lognormal",0.860454930155852
1993,1000,"real",0.733988380764054
1993,1000,"control_lognormal",0.741155943540573
1994,50,"real",1.66261735064092
1994,50,"control_lognormal",1.40836272065333
1994,100,"real",1.18748291555702
1994,100,"control_lognormal",1.13142863696493
1994,200,"real",1.06629505562128
1994,200,"control_lognormal",1.00947464358613
1994,500,"real",0.909767294833048
1994,500,"control_lognormal",0.894503252822725
1994,1000,"real",0.754098709848565
1994,1000,"control_lognormal",0.792920873365354
1995,50,"real",1.66414253647053
1995,50,"control_lognormal",1.12984489412237
1995,100,"real",1.23409640063671
1995,100,"control_lognormal",1.08163074707928
1995,200,"real",1.06099807820138
