"panel","year","instrument","grid_point","value","extra"
"real",1988,"mean_excess","p80",691.88090001155,35.1420344228726
"real",1988,"mean_excess","p81",726.268469528271,33.0016286585153
"real",1988,"mean_excess","p82",762.833362263649,29.8114824492049
"real",1988,"mean_excess","p83",804.073965563777,27.7246386800164
"real",1988,"mean_excess","p84",850.424855971033,26.0519443447722
"real",1988,"mean_excess","p85",901.787335908833,23.9664933700397
"real",1988,"mean_excess","p86",960.548562216334,21.9864128827304
"real",1988,"mean_excess","p87",1027.49661937286,20.4803843242106
"real",1988,"mean_excess","p88",1103.55881172057,18.6568255213301
"real",1988,"mean_excess","p89",1191.6166372721,16.8751772480064
"real",1988,"mean_excess","p90",1297.08469185055,15.5660685684417
"real",1988,"mean_excess","p91",1423.80032537703,14.0964816264812
"real",1988,"mean_excess","p92",1576.54598981155,12.6733785768315
"real",1988,"mean_excess","p93",1769.08680038868,11.4821366751061
"real",1988,"mean_excess","p94",2010.26091652057,9.91920214328235
"real",1988,"mean_excess","p95",2337.42762923835,8.65667028342687
"real",1988,"mean_excess","p96",2759.72049610468,6.58283844669802
"real",1988,"mean_excess","p97",3400.42382327662,5.16237243371624
"real",1988,"mean_excess","p98",4531.85417118485,4.06872448736347
"real",1988,"mean_excess","p99",7178.90321611807,2.89962214265971
"real",1988,"max_to_sum","p1",0.0749376359538895,1186737.951044
"real",1988,"max_to_sum","p2",0.394721421427374,20036365372.8603
"real",1988,"max_to_sum","p3",0.70937292855036,991493445232682
"real",1988,"max_to_sum","p4",0.880441179374593,71042613634023759872
"real",1989,"mean_excess","p80",869.727010276191,25.2639232653409
"real",1989,"mean_excess","p81",911.571888737159,23.6681681095589
"real",1989,"mean_excess","p82",956.278058733333,21.7139146996401
"real",1989,"mean_excess","p83",1006.29365374772,19.960011225958
"real",1989,"mean_excess","p84",1061.14902640833,18.3272833883122
"real",1989,"mean_excess","p85",1124.00373558941,17.0517993224798
"real",1989,"mean_excess","p86",1195.21635540196,16.093154567178
"real",1989,"mean_excess","p87",1275.41121491505,14.8132836029641
"real",1989,"mean_excess","p88",1367.80765090653,13.827641813982
"real",1989,"mean_excess","p89",1473.18301605558,12.6558896684403
"real",1989,"mean_excess","p90",1596.14658574286,11.3708281879328
"real",1989,"mean_excess","p91",1742.90554740863,10.3474911745798
"real",1989,"mean_excess","p92",1922.07246588873,9.32315252273585
"real",1989,"mean_excess","p93",2141.4178583565,8.34918447730685
"real",1989,"mean_excess","p94",2426.75985819316,7.47802653926999
"real",1989,"mean_excess","p95",2784.70919892241,6.3520822477621
"real",1989,"mean_excess","p96",3291.0218604218,5.38972613823738
"real",1989,"mean_excess","p97",4028.67154892183,4.40268909542075
"real",1989,"mean_excess","p98",5355.85653557185,3.61010704536608
"real",1989,"mean_excess","p99",8638.21877590215,2.90178237207156
"real",1989,"max_to_sum","p1",0.0531201912149193,1740361.612931
"real",1989,"max_to_sum","p2",0.240785752955092,35495023153.0014
"real",1989,"max_to_sum","p3",0.37919398480814,2083703571485758
"real",1989,"max_to_sum","p4",0.466143662818769,1.56702785480441e+20
"real",1990,"mean_excess","p80",973.533315597865,26.3025153043213
"real",1990,"mean_excess","p81",1019.94700235749,24.2439552764657
"real",1990,"mean_excess","p82",1070.92122497107,22.578234892663
"real",1990,"mean_excess","p83",1127.40631044158,21.0583955285675
"real",1990,"mean_excess","p84",1189.82144814011,19.2466594721473
"real",1990,"mean_excess","p85",1258.07017658763,17.395892269911
"real",1990,"mean_excess","p86",1336.7428548731,16.1445441591303
"real",1990,"mean_excess","p87",1429.17200171437,15.4562446358104
"real",1990,"mean_excess","p88",1535.02774836492,14.4904255871294
"real",1990,"mean_excess","p89",1652.30395952632,13.0337295108076
"real",1990,"mean_excess","p90",1792.48114485325,11.946519907376
"real",1990,"mean_excess","p91",1956.95157588424,10.627470670855
"real",1990,"mean_excess","p92",2165.10643746973,9.94555041567317
"real",1990,"mean_excess","p93",2416.59036605232,8.92670868164976
"real",1990,"mean_excess","p94",2736.24388317085,7.80472680020644
"real",1990,"mean_excess","p95",3139.20118798902,6.53739772784602
"real",1990,"mean_excess","p96",3710.47604671878,5.55786094983521
"real",1990,"mean_excess","p97",4528.84964648661,4.35772764452141
"real",1990,"mean_excess","p98",6050.27050406285,3.72652104822199
"real",1990,"mean_excess","p99",9564.10210691192,2.77950847947132
"real",1990,"max_to_sum","p1",0.044203575512764,2022274.646407
"real",1990,"max_to_sum","p2",0.191721996891301,41679560407.5351
"real",1990,"max_to_sum","p3",0.304862931583662,2343084703821674
"real",1990,"max_to_sum","p4",0.37396642379897,1.70748751141836e+20
"real",1991,"mean_excess","p80",1080.32855619103,30.3768803817128
"real",1991,"mean_excess","p81",1131.19088544326,27.377350319102
"real",1991,"mean_excess","p82",1188.62390107412,25.5624230777428
"real",1991,"mean_excess","p83",1251.22831906627,23.3899900995784
"real",1991,"mean_excess","p84",1320.8170745298,21.4001254192155
"real",1991,"mean_excess","p85",1399.11261549476,19.7028860235254
"real",1991,"mean_excess","p86",1487.58094213551,17.9604282851306
"real",1991,"mean_excess","p87",1586.38923535178,16.2339660813739
"real",1991,"mean_excess","p88",1702.54087181439,15.0656987733565
"real",1991,"mean_excess","p89",1836.54318015697,13.8450209463108
"real",1991,"mean_excess","p90",1998.97651007708,13.1027848378982
"real",1991,"mean_excess","p91",2189.68195275671,12.0253712561965
"real",1991,"mean_excess","p92",2419.07523359751,10.8408422886204
"real",1991,"mean_excess","p93",2703.22703042856,9.53537152001682
"real",1991,"mean_excess","p94",3056.13968817245,8.19341398614286
"real",1991,"mean_excess","p95",3504.3804055719,6.71662445962537
