"panel","year","statistic","grid_point","value"
"real","overall","rejection_rate","overall",0.327730185011878
"control","overall","rejection_rate","overall",0.0502843567777698
"real","2007","rejection_rate","yearly",0.360817732650378
"real","2009","rejection_rate","yearly",0.35860310522242
"real","2010","rejection_rate","yearly",0.355917667238422
"real","2011","rejection_rate","yearly",0.354483695652174
"real","2012","rejection_rate","yearly",0.353708156093952
"real","2013","rejection_rate","yearly",0.353668743606435
"real","2014","rejection_rate","yearly",0.354257770254385
"real","2019","rejection_rate","yearly",0.35491226330921
"real","2015","rejection_rate","yearly",0.35421606753296
"real","2016","rejection_rate","yearly",0.353033847328973
"real","2017","rejection_rate","yearly",0.353130710781956
"real","2018","rejection_rate","yearly",0.352712990350579
"real","2003","rejection_rate","yearly",0.37443817538491
"real","2004","rejection_rate","yearly",0.370565292984352
"real","2006","rejection_rate","yearly",0.360866438971778
"real","2008","rejection_rate","yearly",0.358693189541891
"real","2000","rejection_rate","yearly",0.383635816705104
"real","2005","rejection_rate","yearly",0.368960739030023
"real","1996","rejection_rate","yearly",0.41725637862754
"real","2001","rejection_rate","yearly",0.377079754601227
"real","2002","rejection_rate","yearly",0.37326968973747
"real","1997","rejection_rate","yearly",0.40830239211151
"real","1998","rejection_rate","yearly",0.405700601600374
"real","1999","rejection_rate","yearly",0.400281373100732
"real","1993","rejection_rate","yearly",0.443618767821654
"real","1994","rejection_rate","yearly",0.429841457993777
"real","1995","rejection_rate","yearly",0.420120390230402
"real","1992","rejection_rate","yearly",0.457610602221789
"real","1991","rejection_rate","yearly",0.46891673904951
"real","1990","rejection_rate","yearly",0.479945615227736
"real","1988","rejection_rate","yearly",0.506047728015691
"real","1989","rejection_rate","yearly",0.487766714082504
"control","2007","rejection_rate","yearly",0.0505870087484701
"control","2009","rejection_rate","yearly",0.0503574192960889
"control","2010","rejection_rate","yearly",0.0493364629412296
"control","2011","rejection_rate","yearly",0.0507246376811594
"control","2012","rejection_rate","yearly",0.0502589236175328
"control","2013","rejection_rate","yearly",0.0502185436622338
"control","2014","rejection_rate","yearly",0.0506418394696008
"control","2019","rejection_rate","yearly",0.0503618518885694
"control","2015","rejection_rate","yearly",0.050744569856777
"control","2016","rejection_rate","yearly",0.0507471236931303
"control","2017","rejection_rate","yearly",0.0503510628065788
"control","2018","rejection_rate","yearly",0.0506715802744509
"control","2003","rejection_rate","yearly",0.0500143444582576
"control","2004","rejection_rate","yearly",0.0509844462196325
"control","2006","rejection_rate","yearly",0.0510066510875427
"control","2008","rejection_rate","yearly",0.0509764828492455
"control","2000","rejection_rate","yearly",0.0491326581770781
"control","2005","rejection_rate","yearly",0.0509006928406467
"control","1996","rejection_rate","yearly",0.0503797961436084
"control","2001","rejection_rate","yearly",0.0504049079754601
"control","2002","rejection_rate","yearly",0.0505966587112172
"control","1997","rejection_rate","yearly",0.0504595532290462
"control","1998","rejection_rate","yearly",0.0500554874131184
"control","1999","rejection_rate","yearly",0.0492965672481711
"control","1993","rejection_rate","yearly",0.0496846107318759
"control","1994","rejection_rate","yearly",0.0492665580085939
