"seed","size_decile","b_hat","n_placebo","se_bhat"
12345,1,-0.190992513385841,29,0.170540682230644
12345,10,-0.0484065908654675,1535,0.0126304030446879
12345,2,-0.252761133204589,96,0.0750494641856806
12345,3,-0.370952037358532,159,0.0787765307262734
12345,4,-0.300084252012362,284,0.0479372867823157
12345,5,-0.325081968340761,461,0.0442498645786152
12345,6,-0.287605705255687,628,0.038530598228638
12345,7,-0.153653916332721,794,0.0288821908476859
12345,8,-0.110366018085735,1004,0.0209044463609381
12345,9,-0.105002379896544,1349,0.0174411341480788
20260719,1,-0.237316506765693,29,0.160157000448325
20260719,10,-0.0379439848581244,1535,0.0102374474669967
20260719,2,-0.262641501863285,96,0.0601668065979943
20260719,3,-0.211668133723662,159,0.0759521460488516
20260719,4,-0.288556976103728,284,0.0468417629493696
20260719,5,-0.280125156667095,461,0.0422402348897024
20260719,6,-0.305596601720268,628,0.0361921263460088
20260719,7,-0.164055999272772,794,0.027417843184344
20260719,8,-0.172704263616434,1004,0.0248368323243946
20260719,9,-0.102106678235488,1349,0.0174931046319782
42,1,-0.120792283595523,29,0.151803891709266
42,10,-0.0285182652039438,1535,0.0092779238139216
42,2,-0.21402649238724,96,0.0813908074722905
42,3,-0.237171187917416,159,0.0750171102252044
42,4,-0.201611768039886,284,0.0431410909743004
42,5,-0.258052978376102,461,0.0455660595130492
42,6,-0.26249158570096,628,0.0352956062065045
42,7,-0.15955859731753,794,0.0279542464631294
42,8,-0.118785130071832,1004,0.021182129978956
42,9,-0.118007411223441,1349,0.0206050746179612
999,1,-0.151261570223382,29,0.0983296509735073
999,10,-0.0602807776300374,1535,0.0127495888625635
999,2,-0.18862599915866,96,0.0818348219328188
999,3,-0.307170468473189,159,0.0790484687016973
999,4,-0.316315032147073,284,0.0530961494059303
999,5,-0.29067674666117,461,0.0437020392437667
999,6,-0.212359859969619,628,0.0312136462428004
999,7,-0.170345431582929,794,0.0299763697121533
999,8,-0.136619294025229,1004,0.0246642322540438
999,9,-0.109485239614478,1349,0.0178360473822768
